id,full_lyrics,emotion,label
10,rasakan tusukan. silang tangannya. darah kering. hilang selamanya. mata kemarahan. di mana angin topan mati. seperti binatang itu. dia melarikan diri. sumpah suci. rasa sakit abadi. makan kemarahannya. dia berlari untuk hidupnya. mendengar kata-kata apa yang seharusnya.,marah,2
11,"disuatu hari aku pergi. bersama seluruh teman-temanku. tak peduli semua kata orang. pergi melihat keramaian. duduk di mobil sedan yo man. mendengarkan musik trus bekumandang. semua tangan kepala ikut bergoyang. ke kana ke kiri tarik perhatian orang. walaupun itu, mobil orang tua. kembalikan tepat waktu sampai di rumah. mobil mama, mobil papa. kita nongkrong dipinggiran jalan. mobil mama, mobil papa. walau pinjam cepat dikembalikan. bersama-sama semua berdansa. ramaikan suasana kita turut gembira. duduk senang dengan teman-teman. tangan semua terangkat dan ikut bergoyang. sangat senang dengan mobil orang tua. berhasil menarik perhatian semua wanita. mobil mama, mobil papa. kembalikan tepat waktu sampai dirumah.",bahagia,0
12,"aku boleh tetap bernyanyi. muntahkan segala isi hati. aku bisa terus berlari. mengejar waktu menggapai mimpi. kalau kau ingin jadi pacarku. aku bebas untuk mencari. teman-teman yang kusenangi. aku berhak minta dilindungi. saat tak mampu berdiri sendiri. kalau kau ingin jadi pacarku. kalau kau ingin jadi pacarku. aku bebas untuk mencari. teman-teman yang kusenangi. aku berhak minta dilindungi. saat tak mampu berdiri sendiri. akan selalu setia, kalau kau ingin jadi pacarku. enggak mau cemburu, kalau kau ingin jadi pacarku. enggak marah-marah melulu, kalau kau ingin jadi pacarku. kalau kau ingin jadi pacarku. kalau kau ingin jadi pacarku. kalau kau ingin jadi pacarku. berikanlah semua isi hatimu. kalau kau berani jadi pacarku.",bahagia,0
13,berbondong-bondong orang cumbui angan dibibir pelabuhan. tinggalkan tanah lahir desa tercinta menuju pulau surga. selamat tinggal semua bukan aku tak cinta. tiada lagi tersisa bahkan mimpi kubawa. isak tangisan bayi dalam gendongan tak goyahkan lamunan. raung sirine kapal jangkar diangkat segeralah berlayar. selamat tinggal semua bukan aku tak cinta. tiada lagi tersisa bahkan mimpi kubawa. a a a a a a a a a a a. . perlahan-lahan kapal jauhi tepi malas mengangkut mimpi. mercusuar dermaga dan burung camar mengusap air mata. selamat jalan kawan bukan aku tak cinta. mungkin saja kau benar semoga saja kau benar. a a a a a a a a a a a. . selamat jalan kawan s'moga kau benar . selamat jalan selamat jalan. . -rahman tardjana-.,sedih,1
14,. jenuh aku mendengar. manisnya kata cinta. lebih baik sendiri. bukannya sekali. seringku mencoba. namun kugagal lagi. mungkin nasib ini. suratan tanganku. harus tabah menjalani. jauh sudah melangkah. menyusuri hidupku. yang penuh tanda tanya. kadang hati bimbang. menentukan sikapku. tiada tempat mengadu. hanya iman di dada. yang membuatku mampu. selalu tabah menjalani. malam malam aku sendiri. tanpa cintamu lagi oh oh ho ho. hanya satu keyakinanku. bintang kan bersinar. menerpa hidupku. bahagia kan datang oh oh,sedih,1
15,"di tepi pantai. banyak minyak, sampah, dan kotoran. aku nyebur menerjang ombak. bikin lengket badan dan rambut. lepas kail tepi sungai. airnya coklat dan berbusa. tak ada ikan yang nyangkut. malah bikin gatel kulit dan bau. lautku nggak biru nggak biru lagi. sungaiku nggak jernih nggak jernih lagi. alamku nggak bagus nggak bagus lagi. lereng dan pegunungan. penuh lapangan golf dan villa. nggak ada yang nahan air. bikin banjir kota-kota. lihat hutan dari pesawat. mana solusi indonesia? imagiku hutan rimba. yang ada botak dan tandus. gunungku nggak hijau nggak hijau lagi. hutanku nggak lebat nggak lebat lagi. alamku nggak bagus nggak bagus lagi. alamku nggak perawan nggak perawan lagi.",sedih,1
16,andai ku tahu. kapan tiba ajalku. ku akan memohon. tuhan tolong panjangkan umurku. andai ku tahu. kapan tiba masaku. ku akan memohon. tuhan jangan kau ambil nyawaku. aku takut. akan semua dosa-dosaku. aku takut. dosa yang terus membayangi ku. andai ku tahu. malaikat mu kan menjemputku. izinkan aku. mengucap kata taubat pada mu. aku takut. akan semua dosa-dosaku. aku takut. dosa yang terus membayangi ku. ampuni aku. dari segala dosa-dosaku. ampuni aku. menangisku bertobat padamu. aku manusia. yang takut neraka. namun aku juga. tak pantas di surga..... andai ku tahu. kapan tiba ajalku. izinkan aku. mengucap kata taubat padamu. aku takut. akan semua dosa-dosaku. aku takut. dosa yang terus membayangi ku. ampuni aku. dari segala dosa-dosaku. ampuni aku. menangisku bertobat padamu. aaa... andai ku tahu. kapan tiba ajalku. ku akan memohon. tuhan tolong panjangkan umurku. andai ku tahu. kapan tiba masaku. ku akan memohon. tuhan jangan kau ambil nyawaku. aku takut. akan semua dosa-dosaku. aku takut. dosa yang terus membayangi ku. andai ku tahu. malaikat mukan menjemputku. izinkan aku. mengucap kata taubat pada mu. aku takut. akan semua dosa-dosaku. aku takut. dosa yang terus membayangi ku. ampuni aku. dari segala dosa-dosaku. ampuni aku. menangisku bertobat padamu. aku manusia. yang takut neraka. namun aku juga. tak pantas di surga..... andai ku tahu. kapan tiba ajalku. izinkan aku. mengucap kata taubat padamu. aku takut. akan semua dosa-dosaku. aku takut. dosa yang terus membayangi ku. ampuni aku. dari segala dosa-dosaku. ampuni aku. menangisku bertobat padamu. aaa...,takut,3
17,tak pernah terlintas di khayalku. takdir hidup menuntunku menemukanmu. engkau permataku sang kekasih. yang ku cinta bersamamu jalani hidup. engkau adalah pemberian terindah. dan akan ku jaga hingga nafas terakhir. you are the perfect love rains over me. you have the perfect song singing for me. you are the perfect dream i ever wanted. you are the perfect love. engkaulah cintaku yang pertama dan terakhir. jelajahi dan ruang dan waktu. engkau adalah pemberian terindah. dan akan ku jaga hingga nafas terakhir. you are the perfect love rains over me. you have the perfect song singing for me. you are the perfect dream i ever wanted. you are the perfect love. i thank god for you. you are the perfect love rains over me. you have the perfect song singing for me. you are the perfect dream i ever wanted. you are the perfect dream i ever wanted. you are the perfect dream i ever wanted. you are the perfect love . thank god for you.,bahagia,0
18,setiap saat setiap waktu. keringat basahi tubuh. ini saat yang kutunggu. hari ini kubuktikan. aku yakin aku akan menang. hari ini akan dikenang. semua doa kupanjatkan. sejarah kupersembahkan. terus fokus satu titik. hanya itu titik itu. tetap fokus kita kejar. lampaui batas. terus fokus satu titik. hanya itu titik itu. tetap fokus kita kejar. dan raih bintang. ya ya ayo. ya ayo ya ya ayo. ya ayo ya ya ayo. ya ayo ya ya wo oh oh. ya ya ayo. ya ayo ya ya ayo. ya ayo ya ya ayo. kita datang kita lihat kita menang. kalau menang berprestasi. kalau kalah jangan frustrasi. kalah menang solidaritas. kita galang sportivitas. kalau menang berprestasi. kalau kalah jangan frustrasi. kalah menang solidaritas. kita galang sportivitas hu wo oh oh. terus fokus satu titik. hanya itu titik itu. tetap fokus kita kejar. dan raih bintang. ya ya ayo. ya ayo ya ya ayo. ya ayo ya ya ayo. ya ayo ya ya wo oh oh. ya ya ayo. ya ayo ya ya ayo. ya ayo ya ya ayo. kita datang kita lihat kita menang. hanya itu titik itu ya ayo ya ya ayo . tetap fokus kita kejar ya ayo ya ya wo oh oh . oh oh oh. hanya itu titik itu ya ayo ya ya ayo . tetap fokus kita kejar kita datang kita lihat . dan raih bintang kita menang,bahagia,0
19,pake baju ala konglomerat. celana juga dipaksa muat. belanja tinggal gesek kredit card. maksain diri biar naik pangkat. itulah tren jaman sekarang. cicilan urusan belakang. gaya gayaan sosialita. gaya demi sosial media. baju hype beast yang lagi keren abis. stylenya udah kayak selebritis. tas kulit buayanya sintesis. yang penting eksis terlihat necis. itulah tren jaman sekarang. cicilan urusan belakang. gaya gayaan sosialita. gaya demi sosial media. berani modal percaya diri. local pride gak kan kalah trendi. gaya gayaan sosialita. gaya demi sosial media. berani modal percaya diri. local pride juga gak kan kalah trendi.,marah,2
20,"sayang merasakan yang ditekan. coba lepaskan yang kau hembuskan. katakan perasaanmu. terangkan impianmu. tuhankan harapanmu. tak apalah, tak apa. untuk membuka pintu. untuk membuka pintu. untuk membuka pintu. untuk membuka pintu. untuk membuka pintu. untuk membuka pintu. untuk membuka pintu. sematkanlah duka. terbentur terluka. namun, laun waktu. menenun restu. sematkanlah duka. terbentur terluka. namun, laun waktu. menenun restu. sematkanlah duka. terbentur terluka . namun, laun waktu . menenun restu . sematkanlah duka . terbentur terluka . namun, laun waktu . menenun restu . takkan.",bahagia,0
21,"tak perlu rasa simpati. kau yang memilih pergi. tinggalkan ku sendiri, hmm. menyesal pun belum pasti. yang kurindu memori. bukan dirimu lagi. kan kupendam sendiri. kuredam teriakanku sendiri. bersumpah tak ingin lagi hmm. tak mau lagi aku. terpikat senyummu. yang memabukkanku. memberi harapan yang entah terlalu jauh. tak ingin ingat lagi. kau yang berhasil curi hatiku yang dingin. tapi kau hempaskan tak sempat kau hangati. harusnya kutahu memang kau bukan milikku, yeah. tak perlu engkau kembali. sudah sampai disini. bahagiaku menanti. kan kupendam sendiri. kuredam teriakanku sendiri. bersumpah tak ingin lagi, hmm. tak mau lagi aku. terpikat senyummu. yang memabukkanku. memberi harapan yang entah terlalu jauh. tak ingin ingat lagi. kau yang berhasil curi hatiku yang dingin. tapi kau hempaskan tak sempat kau hangati. harusnya ku tahu memang kau bukan milikku. tak mau lagi aku. terpikat senyummu. yang memabukkanku. memberi harapan yang entah terlalu jauh. tak ingin ingat lagi. kau yang berhasil curi hatiku yang dingin. tapi kau hempaskan tak sempat kau hangati. harusnya ku tahu memang kau bukan milikku. tak perlu rasa simpati. kau yang memilih pergi. tinggalkan ku sendiri.",sedih,1
22,jangan tanyakan perasaanku. jika kau pun tidak bisa beralih. dari masa lalu yang menghantuimu. karena sungguh ini tidak adil. bukan maksudku menyakitimu. namun tidak mudah untuk melupakan. cerita panjang yang pernah aku lalui. tolong yakinkan saja raguku. pergi saja engkau pergi dariku. biar kubunuh perasaan untukmu. meski berat melangkah. hatiku hanya tidak siap terluka. beri kisah kita sedikit waktu. semesta mengirim dirimu untukku. kita adalah rasa yang tepat. di waktu yang salah. hidup memang sebuah pilihan. tapi hati bukan untuk dipilih. bila hanya setengah dirimu hadir. dan setengah lagi untuk dia. pergi saja engkau pergi dariku. biar kubunuh perasaan untukmu. meski berat melangkah. hatiku hanya tidak siap terluka. beri kisah kita sedikit waktu. semesta mengirim dirimu untukku. kita adalah rasa yang tepat. di waktu yang salah. bukan ini yang kumau. lalu untuk apa kau datang . rindu tidak bisa diatur. kita tidak pernah mengerti. kau dan aku menyakitkan. pergi saja engkau pergi dariku. biar kubunuh perasaan untukmu. meski berat melangkah. hatiku hanya tidak siap terluka. beri kisah kita sedikit waktu. semesta mengirim dirimu untukku. kita adalah rasa yang tepat. di waktu yang salah. di waktu yang salah,marah,2
23,gusar tiasa pernah berhenti. kurasa lebih baik ku mati. mungkin disana nanti aku sanggup berlari. dan menari. dan menari. luapkan saja. luapkan. relakah bila mereka terbang. seraya jiwa dilanda bimbang. baik sekali aku kira memangku tanya. dan merana. dan merana. tanggalkan saja. tanggalkan. meramu. kemana arah ku dimana berlabuh. berlumur. delaga sukma ku ternoda tindakku. disaat ku gemar dan . maka raga mereka melayang. kepala senandungkan jari jua terpisah. penyesalan. penyesalan. runtuhkan saja. runtuhkan. meramu. kemana arah ku dimana berlabuh. berlumur. delaga sukma ku ternoda tindakku. darahku. memanas di segala alirannya. laraku. bergaya selayaknya .,sedih,1
24,satu bahasa jutaan makna cerita. satu kata perkata diawal langkah pertama. ini saatnya kita tentukan langkah baru. bergerak maju berwarna dan berdebu. aku disini dan engkau disana oi. bersama coba langkahi semua bendera oi. redam amarah mari bersuara. bicara bahasa kita dengan banyak cinta uuu. yea and itu goes like this. maju bergerak hadapi semuanya. membuka mata lebar rude boy haa lupakan luka. karena untuk terus berada didalam garis. kau tau pasti jadi orang harus optimis. please tepislah egois aku tidak perlukan di sini. hanya langkah optimis realistis. menggores tinta dengan sentuhan klasik. membakar jiwa dengan teknik terbaik sih mon. woy maju tidak gentar membela yang benar. tetap semangat. woy pantang menyerah terus melangkah. tetap semangat. eiyo kawan lihat kedepan. tunjukkan jalan bagi kita agar bertahan. teruskan teruskan teruskan lagi. hingga semua bermakna murni dan abadi. bergeraklah ragaku dan lakukan sesuatu ooi. dunia ini begitu ramai dan tidak tepat bila kau layu. berhasilah. respect pantang menyerah. woy maju tidak gentar membela yang benar. tetap semangat. woy pantang menyerah terus melangkah. tetap semangat,bahagia,0
25,kini kujalani hari demi hari berharap waktu terbangkan asaku. lupakan dirimu aku coba mencari arti semua ini. salahkah merasa kubuta oleh dusta. tiada tiada akhirnya masih kujalani hari demi hari dan berharap waktu kan terbangkan asaku lupakan dirimu coba kini kau dengarkan. sekali saja dengarkan. apa isi hati ini semua isi hati ini. berjuta kenangan kelam. berjuta sesal terpendam. jangan salahkan aku. jangan pernah salahkan aku. jangan pernah salahkan aku. dendam masih kumencari arti semua ini salahkah merasa aku buta oleh dusta tiada tiada akhirnya kutahu kau tiada merasa bersalah. semua kau tinggalkan pergi tanpa pesan puaskah aku kini lihat kubegini.,marah,2
26,"kalau perjalanan cinta siapa yang 'tak terluka? jika segala yang kuberi 'tak pernah ada arti? hingga akhirnya. kau memilihnya. lalu apalagi? jika ingin pergi. ku 'tak pernah mengerti. hati 'tak mungkin lanjutkan ini. harusnya memberi bukan saling benci. bukan patah hati. semoga air mata terurai. cinta t'lah selesai. semua daya aku coba. 'tuk pertahankan kita. hingga akhirnya. kau memilihnya. jika kau bukan untukku. ku hanya ingin kau tau, bahwa. setidaknya ku mencintai. bukan 'tuk melukai. lalu apalagi? jika ingin pergi. ku 'tak pernah mengerti . hati 'tak mungkin lanjutkan ini. harusnya memberi . bukan saling benci. bukan patah hati. semoga air mata terurai. cinta t'lah selesai.",sedih,1
27,saat kau buka mata. kita dilahirkan untuk sama. saat kau telah dewasa. kau 'kan mengerti semua. takdir itu telah ada. sejak alam semesta tercipta. segala suka dan duka. 'kan jadi sebuah cerita. jalankanlah. hidupmu yang indah. jangan pernah. kau berkeluh kesah. walau kadang engkau lelah. para hadirin yang budiman. kami persembahkan untuk anda. sebuah orkes terkemuka dari ibu kota. sore ze band. saat kau buka mata. kita dilahirkan untuk sama. saat kau telah dewasa. kau 'kan mengerti semua. tapi itu telah ada. sejak alam semesta tercipta. segala suka dan duka. 'kan jadi sebuah cerita. jalankanlah. hidupmu yang indah. jangan pernah. kau berkeluh kesah. walau kadang kita lelah. jalankanlah. hidupmu yang indah. jangan pernah. kau berkeluh kesah. walau kadang engkau lelah. walau kadang engkau lelah. walau kadang engkau lelah. walau kadang.,bahagia,0
28,bergetar hatiku saat kuberkenalan dengannya. kudengar dia menyebutkan nama dirinya. sejak kubertemu aku telah jatuh hati padanya. di dalam hati telah menjelma cinta. dan bawalah daku selalu dalam mimpimu. di langkahmu serta hidupmu. genggamlah daku kini juga nanti harapan di hatiku. bawalah diriku selamanya. bergetar hatiku saat kuberkenalan dengannya. kudengar dia menyebutkan nama dirinya. sejak kubertemu aku telah jatuh hati padanya. di dalam hati telah menjelma cinta. dan bawalah daku selalu dalam mimpimu. di langkahmu serta hidupmu. genggamlah daku kini juga nanti harapan di hatiku. bawalah diriku selamanya. di langkahmu serta hidupmu. genggamlah daku kini juga nanti harapan di hatiku. bawalah diriku selamanya. dan bawalah daku selalu dalam mimpimu. di langkahmu serta hidupmu. genggamlah daku kini juga nanti harapan di hatiku. bawalah diriku selamanya. dalam mimpiku. di langkah dan kehidupan. gengamlah daku. bawalah diriku selamanya. bawalah diriku selamanya,bahagia,0
29,"siapa yang tahu takdir tuhan. yang membawaku padamu. kisah cintaku menakjubkan. bahagianya ku merasa. kamu adalah penyeimbangku. yang menahanku dari terjatuh. dan kamulah inspirasiku. memberi semangat di hidupku. banyaknya aku mengalami. saat yang indah denganmu. kisah cintaku menakjubkan. bahagianya ku merasa. kamu adalah penyeimbangku. yang menahanku dari terjatuh. dan kamulah inspirasiku. memberi semangat di hidupku, semangat di hidupku. siapa yang tahu takdir tuhan yang membawaku. kamu adalah penyeimbangku. yang menahanku dari terjatuh. dan kamulah inspirasiku. memberi semangat di hidupku. semangat di hidupku. penyeimbangku. kamulah semangat di hidupku.",bahagia,0
30,"sahabat datang dan pergi kadang mengkhianati. begitupun rasa cinta kadang mengecewakan. kita punya harga diri kadang terpendam di hati. dan kita punya hati nurani kadang tertimbun mati. ku tertawa walau hati kecewa. ya, kupaksa untuk tetap tertawa. ku bernyanyi walau hati menangis. ya, kucoba untuk terus bernyanyi. walau kau ikat tanganku walau kau bungkam mulutku. walau kau jegal langkahku percuma. walau kau tutup mataku walau kau kurung tubuhku. tapi semua mimpi-mimpiku kan tetap ada. kita coba betulkan jalan kita bersama. coba kita mencari jalan keluar. jangan tunggu orang lain jangan biarkan bangsa lain. mencoba menekan hidup kita bikin malu saja. banyak orang curiga ku bicara ga ada yang percaya. banyak orang menuduh bahkan anggapku gila. ku tertawa lebih keras ku bernyanyi lebih lantang. tapi semua langkah dan mimpiku kan semakin gila. ku tertawa walau hati kecewa. ku bernyanyi walau hati menangis. ku tertawa walau hati kecewa. ya, kupaksa untuk tetap tertawa. ku bernyanyi walau hati menangis. ya, kucoba untuk terus bernyanyi.",sedih,1
31,aku bertemu kamu. dalam gelap. aku menuntunmu. menuju terang. menuju terang. dari gelap malam. kamu simpan gambarku. dalam hati. dalam mimpi. dan di dalam hati. dalam mimpi. dan di dalam hati. aku takut kamu. suka pada diriku. karena memang. aku bukan lawan jenismu. kita bertemu muka lagi. hanya menatap tanpa bahasa. tanpa isyarat memendam tanya. masihkah aku di dalam mimpimu? aku takut kamu. suka pada diriku. karena memang. aku bukanlah lawan jenismu. maaf aku pernah. mengisi relung hatimu. karena memang. aku bukan lawan jenismu.,takut,3
